Sample	Target	Amp_Status	Amp_Score	Ct	Number	Number_status	FLAG	Group
Control11	Gene18	Amp	1.416	30.237	22	2262	OK	Control
Control12	Gene18	Amp	1.391	29.819	22	2262	OK	Control
Control13	Gene18	Amp	1.427	30.251	22	2262	OK	Control
Control14	Gene18	Amp	1.415	28.330	22	2262	OK	Control
Control15	Gene18	Amp	1.427	28.220	22	2262	OK	Control
Control16	Gene18	Amp	1.431	30.991	22	2262	OK	Control
Control17	Gene18	Amp	1.424	29.303	22	2262	OK	Control
Control19	Gene18	Amp	1.410	28.090	22	2262	OK	Control
Control20	Gene18	Amp	1.409	30.491	22	2262	OK	Control
Control21	Gene18	Amp	1.415	29.494	22	2262	OK	Control
Control22	Gene18	Amp	1.435	28.941	22	2262	OK	Control
Control23	Gene18	Amp	1.402	28.074	22	2262	OK	Control
Control24	Gene18	Amp	1.450	29.055	22	2262	OK	Control
Control25	Gene18	Amp	1.447	28.702	22	2262	OK	Control
Control26	Gene18	Amp	1.393	29.012	22	2262	OK	Control
Control01	Gene19	Amp	1.473	25.263	22	2262	OK	Control
Control02	Gene19	Amp	1.453	26.226	22	2262	OK	Control
Control03	Gene19	Amp	1.495	26.842	22	2262	OK	Control
Control04	Gene19	Amp	1.463	25.276	22	2262	OK	Control
Control05	Gene19	Amp	1.479	28.194	22	2262	OK	Control
Control06	Gene19	Amp	1.475	27.432	22	2262	OK	Control
Control07	Gene19	Amp	1.460	28.603	22	2262	OK	Control
Control08	Gene19	Amp	1.463	29.908	22	2262	OK	Control
Control09	Gene19	Amp	1.461	27.719	22	2262	OK	Control
Control11	Gene19	Amp	1.487	31.246	22	2262	OK	Control
Control12	Gene19	Amp	1.448	26.684	22	2262	OK	Control
Control13	Gene19	Amp	1.485	28.085	22	2262	OK	Control
Control14	Gene19	Amp	1.441	26.732	22	2262	OK	Control
Control15	Gene19	Amp	1.417	26.428	22	2262	OK	Control
Control16	Gene19	Amp	1.472	28.964	22	2262	OK	Control
Control17	Gene19	Amp	1.493	24.930	22	2262	OK	Control
Control19	Gene19	Amp	1.477	26.964	22	2262	OK	Control
Control20	Gene19	Amp	1.504	27.953	22	2262	OK	Control
Control21	Gene19	Amp	1.486	27.301	22	2262	OK	Control
Control22	Gene19	Amp	1.469	28.143	22	2262	OK	Control
Control23	Gene19	Amp	1.496	26.754	22	2262	OK	Control
Control24	Gene19	Amp	1.499	27.682	22	2262	OK	Control
Control25	Gene19	Amp	1.482	27.961	22	2262	OK	Control
Control26	Gene19	Amp	1.488	26.911	22	2262	OK	Control
Control01	Gene20	Amp	1.454	30.951	22	2262	OK	Control
Control02	Gene20	Amp	1.483	33.002	22	2262	OK	Control
Control03	Gene20	Amp	1.537	31.004	22	2262	OK	Control
Control04	Gene20	Amp	1.489	32.984	22	2262	OK	Control
Control05	Gene20	Amp	1.475	33.680	22	2262	OK	Control
Control06	Gene20	Amp	1.495	33.795	22	2262	OK	Control
Control07	Gene20	Amp	1.486	29.589	22	2262	OK	Control
Control08	Gene20	No Amp	1.316	36.658	22	487	Undetermined	Control
Control09	Gene20	Amp	1.469	32.776	22	2262	OK	Control
Control11	Gene20	Amp	1.426	34.843	22	2262	OK	Control
Control12	Gene20	Amp	1.432	34.817	22	2262	OK	Control
Control13	Gene20	Amp	1.326	36.295	22	2262	Undetermined	Control
Control14	Gene20	Amp	1.474	32.902	22	2262	OK	Control
Control15	Gene20	Amp	1.466	32.858	22	2262	OK	Control
Control16	Gene20	Amp	1.411	35.297	22	2262	Undetermined	Control
Control17	Gene20	Amp	1.474	34.330	22	2262	OK	Control
Control19	Gene20	Amp	1.405	34.795	22	2262	OK	Control
Control20	Gene20	Amp	1.483	30.978	22	2262	OK	Control
Control21	Gene20	Amp	1.476	33.086	22	2262	OK	Control
Control22	Gene20	Inconclusive	1.412	35.261	22	139	Undetermined	Control
Control23	Gene20	Amp	1.462	32.173	22	2262	OK	Control
Control24	Gene20	Amp	1.479	32.533	22	2262	OK	Control
Control25	Gene20	Amp	1.456	33.241	22	2262	OK	Control
Control26	Gene20	Amp	1.471	33.386	22	2262	OK	Control
